FID;id;nome;uf;pib;estado_id;codigo_ibg;codigo_mun;ano;prestadore;servicos;populaca_1;agua;esgoto
18;2685;Natuba;PB;47864;15;2509909;250990;2015;"[25075000] Companhia de Águas e Esgotos da Paraíba - CAGEPA; [25099040] PREFEITURA MUNICIPAL DE NATUBA - PMN";"Água; Res. Sólidos";10,449999999999999;3,447000000000000;0,000000000000000
19;2686;Nazarezinho;PB;32073;15;2510006;251000;2015;[25075000] Companhia de Águas e Esgotos da Paraíba - CAGEPA;Água;7,318000000000000;0,000000000000000;0,000000000000000
20;2590;Boa Vista;PB;89887;15;2502151;250215;2015;"[25075000] Companhia de Águas e Esgotos da Paraíba - CAGEPA; [25021540] PREFEITURA MUNICIPAL DE BOA VISTA - PMBV";"Água; Res. Sólidos";6,884000000000000;4,861000000000000;0,000000000000000
21;2591;Bom Jesus;PB;11185;15;2502201;250220;2015;"[25075000] Companhia de Águas e Esgotos da Paraíba - CAGEPA; [25022040] Prefeitura Municipal de Bom Jesus - PMBJ";"Água; Res. Sólidos";2,532000000000000;1,811000000000000;0,000000000000000
22;2689;Nova Palmeira;PB;21062;15;2510303;251030;2015;"[25103011] Prefeitura Municipal de Nova Palmeira - PMNP; [25075000] Companhia de Águas e Esgotos da Paraíba - CAGEPA; [25103040] Prefeitura Municipal de Nova Palmeira - PMNP";"Esgoto; Água; Res. Sólidos";4,784000000000000;0,000000000000000;2,556000000000000
23;2695;Patos;PB;692747;15;2510808;251080;2015;"[25075000] Companhia de Águas e Esgotos da Paraíba - CAGEPA; [25108040] Secretaria Municipal de Meio Ambiente - SEMADS";"Água e Esgoto; Res. Sólidos";106,313999999999990;106,313999999999990;7,017000000000000
24;2696;Paulista;PB;59256;15;2510907;251090;2015;"[25075000] Companhia de Águas e Esgotos da Paraíba - CAGEPA; [25109040] Prefeitura Municipal de Paulista - PMP";"Água; Res. Sólidos";12,215999999999999;4,678000000000000;0,000000000000000
25;2698;Pedra Lavrada;PB;34256;15;2511103;251110;2015;"[25111011] Prefeitura Municipal de Pedra Lavrada - PMPL; [25075000] Companhia de Águas e Esgotos da Paraíba - CAGEPA; [25111040] PREFEITURA MUNICIPAL DE PEDRA LAVRADA - PMPL";"Esgoto; Água; Res. Sólidos";7,982000000000000;3,709000000000000;2,928000000000000
26;2882;Lagoa do Ouro;PE;54491;16;2608602;260860;2015;"[26116000] Companhia Pernambucana de Saneamento - COMPESA; [26086040] SECRETARIA DE OBRAS E URBANISMO - SOU";"Água; Res. Sólidos";12,865000000000000;6,852000000000000;0,000000000000000
27;3719;Equador;RN;37054;20;2403400;240340;2015;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN;Água;6,087000000000000;4,707000000000000;0,000000000000000
28;2824;Capoeiras;PE;92597;16;2603801;260380;2015;[26116000] Companhia Pernambucana de Saneamento - COMPESA;Água;19,997000000000000;7,092000000000000;0,000000000000000
29;2883;Lagoa dos Gatos;PE;65618;16;2608701;260870;2015;[26116000] Companhia Pernambucana de Saneamento - COMPESA;Água;16,161000000000001;9,815000000000000;0,000000000000000
30;2825;Carnaíba;PE;73444;16;2603900;260390;2015;[26116000] Companhia Pernambucana de Saneamento - COMPESA;Água;19,318000000000001;11,972000000000000;0,000000000000000
31;2655;João Pessoa;PB;9805587;15;2507507;250750;2015;"[25075000] Companhia de Águas e Esgotos da Paraíba - CAGEPA; [25075040] autarquia especial municipal de limpeza urbana - emlur";"Água e Esgoto; Res. Sólidos";791,437999999999990;791,437999999999990;599,226000000000000
32;3722;Felipe Guerra;RN;59098;20;2403707;240370;2015;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN;Água;6,013000000000000;3,470000000000000;0,000000000000000
33;2826;Carnaubeira da Penha;PE;48221;16;2603926;260392;2015;"[26039211] Prefeitura Municipal de Carnaubeira da Penha - PMCP; [26039240] Prefeitura Municipal - PM";"Água e Esgoto; Res. Sólidos";12,603000000000000;3,200000000000000;3,200000000000000
34;2838;Cupira;PE;114992;16;2605004;260500;2015;[26116000] Companhia Pernambucana de Saneamento - COMPESA;Água;23,841000000000001;23,841000000000001;0,000000000000000
35;627;Alto Santo;CE;77096;6;2300705;230070;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;16,876000000000001;5,764000000000000;0,000000000000000
36;620;Abaiara;CE;35974;6;2300101;230010;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;11,356999999999999;3,829000000000000;0,000000000000000
37;2599;Cabaceiras;PB;25104;15;2503100;250310;2015;[25075000] Companhia de Águas e Esgotos da Paraíba - CAGEPA;Água;5,449000000000000;2,463000000000000;0,000000000000000
38;2702;Picuí;PB;84547;15;2511400;251140;2015;[25075000] Companhia de Águas e Esgotos da Paraíba - CAGEPA;Água;18,670000000000002;13,705000000000000;0,000000000000000
39;2703;Pilar;PB;49084;15;2511509;251150;2015;"[25075000] Companhia de Águas e Esgotos da Paraíba - CAGEPA; [25115040] secretaria de infra estrutura - seinfra";"Água; Res. Sólidos";11,786000000000000;7,847000000000000;0,000000000000000
40;3723;Fernando Pedroza;RN;14967;20;2403756;240375;2015;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN;Água;3,037000000000000;2,635000000000000;0,000000000000000
41;690;Horizonte;CE;995679;6;2305233;230523;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23052340] SECRETARIA DE INFRA-ESTRUTURA - SEINFRA";"Água e Esgoto; Res. Sólidos";63,365000000000002;43,744999999999997;4,352000000000000
42;2708;Pocinhos;PB;76516;15;2512002;251200;2015;"[25075000] Companhia de Águas e Esgotos da Paraíba - CAGEPA; [25120040] Prefeitura Municipal de Pocinhos - PMP";"Água; Res. Sólidos";18,271999999999998;0,000000000000000;0,000000000000000
43;3830;Serrinha dos Pintos;RN;20458;20;2413557;241355;2015;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN;Água;4,797000000000000;2,540000000000000;0,000000000000000
44;2779;Umbuzeiro;PB;42430;15;2517001;251700;2015;"[25170011] Prefeitura Municipal de Umbuzeiro - PMU; [25075000] Companhia de Águas e Esgotos da Paraíba - CAGEPA; [25170040] Prefeitura Municipal de Umbuzeiro - PMU";"Esgoto; Água; Res. Sólidos";9,888999999999999;1,360000000000000;1,000000000000000
45;2709;Poço Dantas;PB;15157;15;2512036;251203;2015;"[25075000] Companhia de Águas e Esgotos da Paraíba - CAGEPA; [25120340] Prefeitura Municipal de Poço Dantas - PMPD";"Água; Res. Sólidos";3,778000000000000;796,000000000000000;0,000000000000000
46;2710;Poço de José de Moura;PB;19170;15;2512077;251207;2015;"[25120711] Prefeitura Municipal de Poço de José de Moura - PMPJM; [25075000] Companhia de Águas e Esgotos da Paraíba - CAGEPA; [25120740] Prefeitura Municipal de Poço de José de Moura - PMPJM";"Água; Água; Res. Sólidos";4,245000000000000;3,953000000000000;0,000000000000000
47;714;Jaguaruana;CE;238068;6;2307007;230700;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;33,469000000000001;13,641999999999999;0,000000000000000
48;2952;Taquaritinga do Norte;PE;116456;16;2615003;261500;2015;"[26150011] Prefeitura Municipal de Taquaritinga do Norte - PMTN; [26116000] Companhia Pernambucana de Saneamento - COMPESA; [26150040] Secretaria de Obras e Urbanismo - SEURB";"Esgoto; Água; Res. Sólidos";27,591999999999999;8,630000000000001;23,000000000000000
49;3755;Lajes;RN;52056;20;2406700;240670;2015;"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24067040] Secretaria de Obras e Serviços Urbanos - SEMOS";"Água e Esgoto; Res. Sólidos";11,151000000000000;8,840000000000000;6,179000000000000
50;2842;Exu;PE;155144;16;2605301;260530;2015;[26116000] Companhia Pernambucana de Saneamento - COMPESA;Água;31,928000000000001;18,481000000000002;0,000000000000000
51;2953;Terezinha;PE;32115;16;2615102;261510;2015;[26116000] Companhia Pernambucana de Saneamento - COMPESA;Água;7,057000000000000;3,602000000000000;0,000000000000000
52;2853;Granito;PE;39731;16;2606309;260630;2015;"[26063011] Prefeitura Municipal de Granito - PMG; [26116000] Companhia Pernambucana de Saneamento - COMPESA";"Esgoto; Água";7,308000000000000;3,756000000000000;3,368000000000000
53;2854;Gravatá;PE;473161;16;2606408;260640;2015;[26116000] Companhia Pernambucana de Saneamento - COMPESA;Água e Esgoto;81,893000000000001;81,893000000000001;1,512000000000000
54;2962;Venturosa;PE;90988;16;2616001;261600;2015;"[26116000] Companhia Pernambucana de Saneamento - COMPESA; [26160040] PREFEITURA MUNICIPAL DE VENTUROSA - PMV";"Água; Res. Sólidos";17,870000000000001;8,992000000000001;0,000000000000000
55;2711;Pombal;PB;183903;15;2512101;251210;2015;"[25121011] Prefeitura Municipal de Pombal - PMP; [25075000] Companhia de Águas e Esgotos da Paraíba - CAGEPA; [25121040] Prefeitura Municipal de Pombal - PMP";"Esgoto; Água; Res. Sólidos";32,712000000000003;32,051000000000002;17,411999999999999
56;2712;Prata;PB;19344;15;2512200;251220;2015;[25075000] Companhia de Águas e Esgotos da Paraíba - CAGEPA;Água;4,109000000000000;2,748000000000000;0,000000000000000
57;2714;Puxinanã;PB;61014;15;2512408;251240;2015;[25075000] Companhia de Águas e Esgotos da Paraíba - CAGEPA;Água;13,557000000000000;4,947000000000000;0,000000000000000
58;2715;Queimadas;PB;223018;15;2512507;251250;2015;"[25075000] Companhia de Águas e Esgotos da Paraíba - CAGEPA; [25125040] Prefeitura Municipal de Queimadas - PMQ";"Água e Esgoto; Res. Sólidos";43,667000000000002;30,488000000000000;638,000000000000000
59;2724;Salgadinho;PB;14478;15;2513000;251300;2015;"[25075000] Companhia de Águas e Esgotos da Paraíba - CAGEPA; [25130011] Prefeitura Municipal de Salgadinho - PMS; [25130040] PREFEITURA MUNICIPAL DE SALGADINHO - PMS";"Água; Água e Esgoto; Res. Sólidos";3,871000000000000;1,305000000000000;692,000000000000000
60;2682;Monte Horebe;PB;19756;15;2509602;250960;2015;[25075000] Companhia de Águas e Esgotos da Paraíba - CAGEPA;Água;4,759000000000000;3,421000000000000;0,000000000000000
61;2725;Salgado de São Félix;PB;46913;15;2513109;251310;2015;"[25075000] Companhia de Águas e Esgotos da Paraíba - CAGEPA; [25131040] SECRETARIA DE INFRAESTRUTURA - SEINFRA";"Água; Res. Sólidos";12,144000000000000;4,283000000000000;0,000000000000000
62;2727;Santa Cruz;PB;29600;15;2513208;251320;2015;"[25075000] Companhia de Águas e Esgotos da Paraíba - CAGEPA; [25132040] SECRETARIA MUNICIPAL DE INFRAESTRUTURA URBANA - SEMIU";"Água; Res. Sólidos";6,579000000000000;4,176000000000000;0,000000000000000
63;3840;Timbaúba dos Batistas;RN;13534;20;2414308;241430;2015;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN;Água;2,418000000000000;1,821000000000000;0,000000000000000
64;2728;Santa Helena;PB;24826;15;2513307;251330;2015;"[25133011] Prefeitura Municipal de Santa Helena - PMSH; [25075000] Companhia de Águas e Esgotos da Paraíba - CAGEPA; [25133040] PREFEITURA MUNICIPAL DE SANTA HELENA - PMSH";"Esgoto; Água; Res. Sólidos";5,917000000000000;3,252000000000000;1,700000000000000
65;3833;Taboleiro Grande;RN;13033;20;2413805;241380;2015;"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24138040] SECRETARIA MUNICIPAL DE OBRAS E URBANISMO - SMOU";"Água; Res. Sólidos";2,518000000000000;1,804000000000000;0,000000000000000
66;2923;Saloá;PE;70466;16;2612307;261230;2015;"[26116000] Companhia Pernambucana de Saneamento - COMPESA; [26123040] Prefeitura Municipal de Saloá   Secretaria Municipal de Meio Ambiente. - PMS";"Água; Res. Sólidos";15,742000000000001;5,552000000000000;0,000000000000000
67;2730;Santa Luzia;PB;77079;15;2513406;251340;2015;"[25134011] Prefeitura Municipal de Santa Luzia - PMSL; [25075000] Companhia de Águas e Esgotos da Paraíba - CAGEPA; [25134040] Prefeitura Municipal de Santa Luzia - PMSL";"Esgoto; Água; Res. Sólidos";15,278000000000000;14,196999999999999;13,991000000000000
68;2722;Riacho dos Cavalos;PB;34144;15;2512804;251280;2015;"[25128011] Prefeitura Municipal de Riacho dos Cavalos - PMRC; [25075000] Companhia de Águas e Esgotos da Paraíba - CAGEPA; [25128040] Prefeitura Municipal de Riacho dos Cavalos - PMRC";"Esgoto; Água; Res. Sólidos";8,563000000000001;0,000000000000000;8,538000000000000
69;2734;Santa Rita;PB;1246777;15;2513703;251370;2015;[25075000] Companhia de Águas e Esgotos da Paraíba - CAGEPA;Água e Esgoto;134,940000000000000;118,055000000000010;5,101000000000000
70;2959;Triunfo;PE;69200;16;2615706;251680;2015;"[25075000] Companhia de Águas e Esgotos da Paraíba - CAGEPA; [25168040] Prefeitura Municipal de Triunfo - PMT";"Água; Res. Sólidos";9,446999999999999;0,000000000000000;0,000000000000000
71;3715;Cruzeta;RN;54074;20;2403004;240300;2015;"[24030011] Prefeitura Municipal de Cruzeta - PMC; [24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24030040] Secretaria Municipal de Infraestrutura, Serviços Urbano - SMISU";"Esgoto; Água; Res. Sólidos";8,164000000000000;6,682000000000000;6,000000000000000
72;2737;São Bentinho;PB;20543;15;2513927;251392;2015;[25075000] Companhia de Águas e Esgotos da Paraíba - CAGEPA;Água;4,451000000000000;3,356000000000000;0,000000000000000
73;2738;São Bento;PB;192796;15;2513901;251390;2015;"[25139011] Prefeitura Municipal de São Bento - PMSB; [25075000] Companhia de Águas e Esgotos da Paraíba - CAGEPA; [25139040] Prefeitura Municipal de São Bento - PMSB";"Esgoto; Água; Res. Sólidos";33,463999999999999;28,382000000000001;26,000000000000000
74;3836;Tenente Ananias;RN;46355;20;2414100;241410;2015;"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24141040] Prefeitura Municipal - PM";"Água; Res. Sólidos";10,646000000000001;7,691000000000000;0,000000000000000
75;2743;São João do Rio do Peixe;PB;82474;15;2500700;250070;2015;"[25075000] Companhia de Águas e Esgotos da Paraíba - CAGEPA; [25007040] Prefeitura Municipal de São João do Rio do Peixe-PB - PMSJRP";"Água; Res. Sólidos";17,928999999999998;0,000000000000000;0,000000000000000
76;3687;Alexandria;RN;66759;20;2400505;240050;2015;[24005011] Serviço Autônomo de Água e Esgoto de Alexandria - SAAE;Água e Esgoto;13,852000000000000;13,512000000000000;5,513000000000000
77;2741;São Francisco;PB;16246;15;2513984;251398;2015;"[25075000] Companhia de Águas e Esgotos da Paraíba - CAGEPA; [25139840] PREITURA MUNICIPAL DE SÃO FRANCISCO - PMSF";"Água; Res. Sólidos";3,375000000000000;1,578000000000000;0,000000000000000
78;3689;Alto do Rodrigues;RN;187828;20;2400703;240070;2015;"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24007040] Prefeitura Municipal - PM";"Água e Esgoto; Res. Sólidos";13,914999999999999;9,965999999999999;197,000000000000000
79;2745;São José da Lagoa Tapada;PB;33039;15;2514206;251420;2015;"[25075000] Companhia de Águas e Esgotos da Paraíba - CAGEPA; [25142040] PREFEITURA MUNICIPAL DE SÃO JOSÉ DA LAGOA TAPADA - PMSJLT";"Água; Res. Sólidos";7,677000000000000;3,360000000000000;0,000000000000000
80;3692;Apodi;RN;292845;20;2401008;240100;2015;"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24010040] PREFEITURA MUNICIPAL DE APODI - PMA";"Água; Res. Sólidos";36,189000000000000;18,584000000000000;0,000000000000000
81;2747;São José de Espinharas;PB;26110;15;2514404;251440;2015;[25075000] Companhia de Águas e Esgotos da Paraíba - CAGEPA;Água;4,684000000000000;2,074000000000000;0,000000000000000
82;3690;Angicos;RN;69145;20;2400802;240080;2015;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN;Água;11,907000000000000;10,507000000000000;0,000000000000000
83;3691;Antônio Martins;RN;31809;20;2400901;240090;2015;"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24009040] PREFEITURA MUNICIPAL DE ANTONIO MARTINS - PMAA";"Água e Esgoto; Res. Sólidos";7,205000000000000;2,879000000000000;1,527000000000000
84;2748;São José de Piranhas;PB;94357;15;2514503;251450;2015;"[25075000] Companhia de Águas e Esgotos da Paraíba - CAGEPA; [25145040] Prefeitura Municipal de São José de Piranhas - PMSJP";"Água; Res. Sólidos";19,956000000000000;16,001000000000001;0,000000000000000
85;2755;São Mamede;PB;38552;15;2514909;251490;2015;"[25149011] Prefeitura Municipal de São Mamede - PMSM; [25075000] Companhia de Águas e Esgotos da Paraíba - CAGEPA; [25149040] Prefeitura Municipal de São Mamede - PMSM";"Esgoto; Água; Res. Sólidos";7,756000000000000;7,232000000000000;5,935000000000000
86;2754;São José dos Ramos;PB;23919;15;2514453;251445;2015;"[25075000] Companhia de Águas e Esgotos da Paraíba - CAGEPA; [25144540] Prefeitura Municípial de São José dos Ramos-PB - PMSJR";"Água; Res. Sólidos";5,870000000000000;2,622000000000000;0,000000000000000
87;3831;Severiano Melo;RN;29641;20;2413607;241360;2015;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN;Água;3,893000000000000;3,893000000000000;0,000000000000000
88;2758;São Sebastião do Umbuzeiro;PB;15782;15;2515203;251520;2015;"[25152011] Prefeitura Municipal de São Sebastião do Umbuzeiro - PMSSU; [25152040] PREFEITURA MUNICIPAL DE SÃO SEBASTIÃO DO UMBUZEIRO - PMSSU";"Água e Esgoto; Res. Sólidos";3,440000000000000;2,500000000000000;2,300000000000000
89;2759;Sapé;PB;262173;15;2515302;251530;2015;"[25075000] Companhia de Águas e Esgotos da Paraíba - CAGEPA; [25153040] Prefeitura Municipal de Sapé - PMS";"Água e Esgoto; Res. Sólidos";52,218000000000004;34,409999999999997;10,941000000000001
90;2931;Santa Terezinha;PE;42542;16;2612802;261280;2015;[26116000] Companhia Pernambucana de Saneamento - COMPESA;Água;11,627000000000001;8,557000000000000;0,000000000000000
91;3693;Areia Branca;RN;455959;20;2401107;240110;2015;"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24011040] Prefeitura Municipal de Areia Branca - PMAB";"Água; Res. Sólidos";27,356000000000002;21,954999999999998;0,000000000000000
92;3714;Coronel João Pessoa;RN;23010;20;2402907;240290;2015;"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24029040] CONSTRUTORA SERRA NOVA - CSN";"Água; Res. Sólidos";4,963000000000000;1,700000000000000;0,000000000000000
93;2760;Seridó;PB;38301;15;2515401;251540;2015;"[25075000] Companhia de Águas e Esgotos da Paraíba - CAGEPA; [25154040] PREFEITURA MUNICIPAL DE SÃO VICENTE DO SERIDÓ - PMSVS";"Água; Res. Sólidos";10,900000000000000;4,412000000000000;0,000000000000000
94;2761;Serra Branca;PB;67053;15;2515500;251550;2015;[25075000] Companhia de Águas e Esgotos da Paraíba - CAGEPA;Água;13,564000000000000;10,630000000000001;0,000000000000000
95;2769;Soledade;PB;75343;15;2516102;251610;2015;"[25075000] Companhia de Águas e Esgotos da Paraíba - CAGEPA; [25161040] Prefeitura Municipal de Soledade - PMS";"Água; Res. Sólidos";14,714000000000000;12,425000000000001;0,000000000000000
96;3705;Caicó;RN;548174;20;2402006;240200;2015;"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24020040] PREFEITURA MUNICIPAL DE CAICÓ - RN";"Água e Esgoto; Res. Sólidos";67,259000000000000;61,630000000000003;5,683000000000000
97;2721;Riacho de Santo Antônio;PB;10803;15;2512788;251278;2015;"[25075000] Companhia de Águas e Esgotos da Paraíba - CAGEPA; [25127840] Prefeitura Municipal de Riacho de Santo Antônio - PMRSA";"Água; Res. Sólidos";1,923000000000000;0,000000000000000;0,000000000000000
98;3708;Caraúbas;RN;169582;20;2402303;250407;2015;"[25040711] Prefeitura Municipal de Caraúbas - PMC; [25075000] Companhia de Águas e Esgotos da Paraíba - CAGEPA";"Esgoto; Água";4,115000000000000;1,918000000000000;2,318000000000000
99;3709;Carnaúba dos Dantas;RN;40943;20;2402402;240240;2015;"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24024040] PREFEITURA MUNICIPAL DE CARNAÚBA DOS DANTAS - PMCD";"Água; Res. Sólidos";8,045000000000000;5,227000000000000;0,000000000000000
100;3710;Carnaubais;RN;77275;20;2402501;240250;2015;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN;Água e Esgoto;10,760000000000000;3,167000000000000;2,405000000000000
101;2742;São João do Cariri;PB;22834;15;2514008;251400;2015;[25075000] Companhia de Águas e Esgotos da Paraíba - CAGEPA;Água;4,323000000000000;3,624000000000000;0,000000000000000
102;3827;Serra do Mel;RN;63637;20;2413359;241335;2015;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN;Água;11,507000000000000;607,000000000000000;0,000000000000000
103;3746;João Dias;RN;12597;20;2405900;240590;2015;"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24059040] Prefeitura Municipal de João Dias - PMJD";"Água; Res. Sólidos";2,691000000000000;972,000000000000000;0,000000000000000
104;3747;José da Penha;RN;30727;20;2406007;240600;2015;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN;Água e Esgoto;6,049000000000000;3,651000000000000;413,000000000000000
105;3828;Serra Negra do Norte;RN;40279;20;2413409;241340;2015;"[24134011] Prefeitura Municipal de Serra Negra do Norte - PMSNN; [24134040] Secretaria Municipal de Infraestrutura e Serviços Públicos - SMISP";"Água e Esgoto; Res. Sólidos";8,130000000000001;6,503000000000000;5,712000000000000
106;2751;São José do Brejo do Cruz;PB;9936;15;2514651;251465;2015;"[25146511] Prefeitura Municipal de São José do Brejo do Cruz - PMSJBC; [25075000] Companhia de Águas e Esgotos da Paraíba - CAGEPA; [25146540] PREFEITURA MUNICIPAL DE SÃO JOSÉ DO BREJO DO CRUZ - PMSJBC";"Esgoto; Água; Res. Sólidos";1,780000000000000;1,318000000000000;400,000000000000000
107;3774;Ouro Branco;RN;29055;20;2408508;240850;2015;"[24085011] Prefeitura Municipal de Ouro Branco - pmob; [24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24085040] Municipio de Ouro Branco - PMOB";"Esgoto; Água; Res. Sólidos";4,871000000000000;3,377000000000000;2,500000000000000
108;3765;Messias Targino;RN;26614;20;2407609;240760;2015;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN;Água;4,530000000000000;2,482000000000000;0,000000000000000
109;2752;São José do Sabugi;PB;20530;15;2514701;251470;2015;"[25147011] Prefeitura Municipal de São José do Sabugi - PMSJS; [25075000] Companhia de Águas e Esgotos da Paraíba - CAGEPA; [25147040] Secretaria de Infraestrutura do Municipio - SIM";"Esgoto; Água; Res. Sólidos";4,124000000000000;3,375000000000000;2,212000000000000
110;3775;Paraná;RN;18859;20;2408607;240860;2015;"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24086040] Prefeitura Municipal de Paraná - PMP";"Água; Res. Sólidos";4,222000000000000;2,874000000000000;0,000000000000000
111;2753;São José dos Cordeiros;PB;16958;15;2514800;251480;2015;[25075000] Companhia de Águas e Esgotos da Paraíba - CAGEPA;Água;3,729000000000000;2,487000000000000;0,000000000000000
112;2764;Serra Redonda;PB;36474;15;2515807;251580;2015;"[25075000] Companhia de Águas e Esgotos da Paraíba - CAGEPA; [25158040] PREFEITURA MUNICIPAL DE SERRA REDONDA - PMSR";"Água; Res. Sólidos";7,053000000000000;0,000000000000000;0,000000000000000
