codigo_municipio;municipio;uf;ano;prestadores;servicos;populacao;agua;esgoto
230320;Caririaçu;CE;2015;[23032011] Serviço Autônomo de Água e Esgoto - SAMAE;Água;26858;15373;
230330;Cariús;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;18810;4403;
230340;Carnaubal;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23034040] PREFEITURA DE CARNAUBAL / SECRETARIA DE INFRAESTRUTURA E SERVIÇOS PÚBLICOS - SEINFRA";"Água; Res Sólidos";17463;6871;
230350;Cascavel;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23035040] Prefeitura Municipal de Cascavel - PMC";"Água e Esgoto; Res Sólidos";70047;39608;1171
230360;Catarina;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23036040] PREFEITURA MUNICIPAL DE CATARINA - PMC";"Água e Esgoto; Res Sólidos";20079;8509;2046
230365;Catunda;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;10294;4939;
230370;Caucaia;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;353932;240953;104674
230380;Cedro;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;25013;12298;881
230390;Chaval;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;12910;7438;
230393;Choró;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;13294;2892;
230395;Chorozinho;CE;2015;"[23039511] Prefeitura Municipal de Chorozinho - PMC; [23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23039540] Secretaria de Planejamento e Desenvolvimento Urbano - SPDU";"Esgoto; Água; Res Sólidos";19192;6346;11590
230400;Coreaú;CE;2015;"[23040011] Prefeitura Municipal de Coreaú - PMC; [23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23040040] PREFEITURA MUNICIPAL DE COREAÚ - PMC";"Esgoto; Água e Esgoto; Res Sólidos";22889;10001;14883
230410;Crateús;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;74271;41225;19478
230420;Crato;CE;2015;[23042011] Sociedade Anônima de Água e Esgoto do Crato - SAAEC;Água e Esgoto;128680;127432;35527
230423;Croatá;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23042340] PREFEITURA MUNICIPAL DE CROATA - PMC";"Água e Esgoto; Res Sólidos";17728;4965;1148
230425;Cruz;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23042540] Secretaria de Infra Estrutura e Urbanismo - Infra";"Água; Res Sólidos";23677;7382;
230426;Deputado Irapuan Pinheiro;CE;2015;"[23042611] Prefeitura Municipal de Deputado Irapuan Pinheiro - PMDIP; [23042640] Secretaria de Obras,  Serviços Públicos e Transportes - SOSPT";"Água; Res Sólidos";9444;4325;
230427;Ererê;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;7104;2823;
230428;Eusébio;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23042840] Secretaria de Obras e Serviços Públicos - SOSP";"Água e Esgoto; Res Sólidos";51127;35342;4423
230430;Farias Brito;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23043040] SECRETARIA MUNICIPAL DE INFRAESTRUTURA - SEINFRA";"Água; Res Sólidos";18861;5673;
230435;Forquilha;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23043540] SEINFRA - SECRETARIA DE INFRAESTRUTURA - SEINFRA";"Água e Esgoto; Res Sólidos";23544;14656;4834
230440;Fortaleza;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23044040] SECRETARIA DE CONSERVAÇÃO E SERVIÇOS PÚBLICOS - SCSP";"Água e Esgoto; Res Sólidos";2591188;2184943;1270591
230445;Fortim;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23044540] SECRETARIA DE DESENVOLVIMENTO URBANO DE FORTIM/CE - DESURB";"Água; Res Sólidos";15951;6122;
230450;Frecheirinha;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23045040] Secretaria de Infra Estrutura e Meio Ambiente - Meio Ambiente";"Água e Esgoto; Res Sólidos";13541;6987;1067
230460;General Sampaio;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23046040] Secretaria do Desenvolvimento Rural e Meio Ambiente - SEDERMA";"Água; Res Sólidos";6763;3907;
230465;Graça;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23046540] PREFEITURA MUNICIPAL DE GRAÇA - PMG";"Água e Esgoto; Res Sólidos";15294;5328;670
230470;Granja;CE;2015;"[23047011] Prefeitura Municipal de Granja - PMG; [23047040] PREFEITURA MUNICIPAL DE GRANJA - PMG";"Água e Esgoto; Res Sólidos";53918;21893;1000
230480;Granjeiro;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23048040] Prefeitura Municipal de Granjeiro - PMG";"Água e Esgoto; Res Sólidos";4494;1193;502
230490;Groaíras;CE;2015;"[23049011] Prefeitura Municipal de Groaíras - PMG; [23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23049040] Prefeitura Municipal de Groaíras - PMG";"Esgoto; Água; Res Sólidos";10847;7125;10847
230495;Guaiúba;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;25841;12787;2131
230500;Guaraciaba do Norte;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23050040] Prefeitura Municipal de Guaraciaba do Norte - PMGN";"Água e Esgoto; Res Sólidos";39151;11576;1765
230510;Guaramiranga;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;3720;1359;731
230520;Hidrolândia;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;20055;10269;
230523;Horizonte;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23052340] SECRETARIA DE INFRA-ESTRUTURA - SEINFRA";"Água e Esgoto; Res Sólidos";63365;43745;4352
230530;Ibiapina;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23053040] PREFEITURA MUNICIPAL DE IBIAPINA - PMI";"Água; Res Sólidos";24649;9358;
230533;Ibicuitinga;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;12130;5346;
230535;Icapuí;CE;2015;"[23053511] Serviço Autônomo de Água e Esgotos de Icapuí - SAAE; [23053540] Secretaria de Obras, Serviços Publicos e Urbanismo - SecObras";"Água; Res Sólidos";19418;19418;
230540;Icó;CE;2015;"[23054011] Serviço Autônomo de Água e Esgoto - SAAE; [23054040] PREFEITURA MUNICIPAL DE ICÓ - PMI/ICÓ";"Água e Esgoto; Res Sólidos";67198;49536;17850
230550;Iguatu;CE;2015;"[23055011] Serviço Autônomo de Água e Esgoto de Iguatu - SAAE; [23055040] Secretaria do Meio Ambiente e Desenvolvimento Urbano - SEMURB";"Água e Esgoto; Res Sólidos";101386;85377;15500
230560;Independência;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;25957;9622;2671
230570;Ipaumirim;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23057040] PREFEITURA MUNICIPAL DE IPAUMIRIM - PMI";"Água; Res Sólidos";12305;6207;
230600;Iracema;CE;2015;"[23060011] Prefeitura Municipal de Iracema - PMI; [23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23060040] PREFEITURA MUNICIPAL DE IRACEMA - PMI";"Esgoto; Água; Res Sólidos";14071;7955;9000
230610;Irauçuba;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23061040] SECRETARIA DE INFRAESTRUTURA - SEINFRA";"Água; Res Sólidos";23543;9088;
230620;Itaiçaba;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23062040] PREFEITURA MUNICIPAL DE ITAIÇABA-SECRETARIA DE INFRAESTRUTURA - PMI-SEINFRA";"Água; Res Sólidos";7656;2434;
230625;Itaitinga;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;38540;35546;708
230630;Itapagé;CE;2015;[23063011] Serviço Autônomo de Água e Esgoto - SAAE;Água e Esgoto;51113;42500;1850
230640;Itapipoca;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23064040] PREFEITURA DE ITAPIPOCA - PMI";"Água e Esgoto; Res Sólidos";124950;57113;27619
230650;Itapiúna;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23065040] SECRETARIA DE OBRAS INFRAESTRUTURA E CONTROLE URBANO - SOICU";"Água; Res Sólidos";19724;7523;
230655;Itarema;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23065540] SECTRETARIA DE TURIMO; PESCA E MEIO AMBIENTE - SECTUR";"Água e Esgoto; Res Sólidos";40398;9049;1492
230660;Itatira;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23066040] Secretaria Municipal de Infra Estrutura e Urbanismo S - SMIU";"Água; Res Sólidos";20285;1843;
230670;Jaguaretama;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23067040] Prefeitura Municipal de Jaguaretama - PMJ";"Água e Esgoto; Res Sólidos";17997;7442;285
230680;Jaguaribara;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;11102;7700;5627
230690;Jaguaribe;CE;2015;"[23069011] Serviço Autônomo de Água e Esgoto - SAAE; [23069040] Secretaria da Cidade e Infraestrutura - SEINFRA";"Água e Esgoto; Res Sólidos";34561;32672;8253
230700;Jaguaruana;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;33469;13642;
230720;Jati;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23072040] Prefeitura Municipal de Jati - PMJ";"Água; Res Sólidos";7807;3296;
230725;Jijoca de Jericoacoara;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23072540] SECRETARIA DE DESENVOLVIMENTO ECONÔMICO, TURISMO E MEIO AMBIENTE - SETMA";"Água e Esgoto; Res Sólidos";18926;5672;1230
230730;Juazeiro do Norte;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23073040] Autarquia de Meio Ambiente de Juazeiro do Norte - AMAJU";"Água e Esgoto; Res Sólidos";266022;222131;58507
230740;Jucás;CE;2015;[23074011] Serviço Autônomo de Água e Esgoto - SAAE;Água e Esgoto;24479;18566;8348
230750;Lavras da Mangabeira;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;31383;14855;
230760;Limoeiro do Norte;CE;2015;[23076011] Serviço Autônomo de Água e Esgoto - SAAE;Água e Esgoto;58175;57593;9925
230765;Maracanaú;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23076540] SECRETARIA DE INFRAESTRUTURA - SEINFRA";"Água e Esgoto; Res Sólidos";221504;147551;65227
230770;Maranguape;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;123570;71863;7088
230780;Marco;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;26484;12054;
230790;Martinópole;CE;2015;"[23079011] Prefeitura Municipal de Martinópole - PMM; [23044000] Companhia de Água e Esgoto do Ceará - CAGECE";"Esgoto; Água";10895;6903;587
230800;Massapê;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23080040] SECRETARIA DE INFRAESTRUTURA E MEIO AMBIENTE - SEIMA";"Água e Esgoto; Res Sólidos";37560;19333;5248
230810;Mauriti;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23081040] PREFEITURA MUNICIPAL DE MAURITI - PMM";"Água e Esgoto; Res Sólidos";46113;15001;2671
230820;Meruoca;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;14674;3440;
230830;Milagres;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;28354;9145;
230837;Miraíma;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;13428;5754;
230840;Missão Velha;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;35240;11897;369
230850;Mombaça;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23085040] PREFEITURA MUNICIPAL DE MOMBAÇA - PMM";"Água; Res Sólidos";43619;14586;
230860;Monsenhor Tabosa;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;17012;8472;
230870;Morada Nova;CE;2015;[23087011] Serviço de Autônomo de Água e Esgoto - SAAE;Água e Esgoto;61903;58000;1600
230880;Moraújo;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;8520;2792;
230890;Morrinhos;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23089040] Secretaria de Agricultura, Recursos Hídricos e Meio Ambiente - Seagri";"Água; Res Sólidos";21905;8539;
230900;Mucambo;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;14357;8510;1588
230910;Mulungu;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23091040] Prefeitura Municipal de Mulungu - PMM";"Água e Esgoto; Res Sólidos";12526;3464;550
230920;Nova Olinda;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23092040] Secretaria de Serviço Publicos - SSP";"Água; Res Sólidos";15181;8965;
230940;Novo Oriente;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23094040] Secretaria de Obras e Infraestrutura - SOI";"Água e Esgoto; Res Sólidos";28220;10520;4131
230945;Ocara;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23094540] SECRETARIA DE INFRAESTRUTURA E DESENVOLVIMENTO URBANO - SEMID";"Água e Esgoto; Res Sólidos";25123;4874;777
230950;Orós;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;21394;12541;
230960;Pacajus;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;68800;40004;1851
230970;Pacatuba;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23097040] Secretaria de Infraestrutura e Meio Ambiente - SIMA";"Água e Esgoto; Res Sólidos";80378;58004;30799
230980;Pacoti;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;11910;3671;2919
230990;Pacujá;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;6168;3397;
231000;Palhano;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23100040] PREFEITURA MUNICIPAL DE PALHANO - PMP";"Água; Res Sólidos";9209;3326;
231010;Palmácia;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;12895;3953;992
231020;Paracuru;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23102040] Prefeitura Municipal - PM";"Água e Esgoto; Res Sólidos";33426;11738;3934
231025;Paraipaba;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23102540] Secretaria de Infraestrutura - Seinfra";"Água e Esgoto; Res Sólidos";31986;9875;5633
231030;Parambu;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23103040] Secretaria de Infraestrutura e Desenvolvimento Econômico - SEINFRA";"Água; Res Sólidos";31293;11153;
231040;Paramoti;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23104040] Secretaria de Desenvolvimento Agrário e Meio Ambiente - SEDAMA";"Água e Esgoto; Res Sólidos";11549;5539;871
231050;Pedra Branca;CE;2015;"[23105011] Serviço Autônomo de Água e Esgoto - SAAE; [23105040] SECRETARIA DE DESENVOLVIMENTO URBANO E MEIO AMBIENTE - SEDUMA";"Água; Res Sólidos";42746;18513;
231060;Penaforte;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;8817;5679;
231070;Pentecoste;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23107040] PREFEITURA MUNICÍPAL DE PENTECOSTE - PMP";"Água; Res Sólidos";36773;18670;
231080;Pereiro;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;16115;4400;
231085;Pindoretama;CE;2015;"[23108511] Serviço Autônomo de Água e Esgoto - SAAE; [23108540] PREFEITURA MUNICIPAL DE PINDORETAMA - PMP";"Água; Res Sólidos";20207;12100;
231090;Piquet Carneiro;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23109040] SECRETARIA MUNICIPAL DE INFRAESTRUTURA E RECURSOS HIDRICOS - SMIRH";"Água; Res Sólidos";16461;4812;
231095;Pires Ferreira;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;10674;2217;
231100;Poranga;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23110040] Prefeitura Municipal - PMP";"Água e Esgoto; Res Sólidos";12224;5413;1621
231110;Porteiras;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;15010;5178;867
231120;Potengi;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23112040] Prefeitura Municipal de Potengi - PMP";"Água; Res Sólidos";10790;5088;
231123;Potiretama;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;6318;2352;
231126;Quiterianópolis;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23112640] Prefeitura Municipal de Quiterianópolis - PMQ";"Água; Res Sólidos";20690;4526;
231130;Quixadá;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23113040] SECRETARIA DESENVOLVIMENTO URBANO E MEIO AMBIENTE - SEDUMA";"Água e Esgoto; Res Sólidos";85351;48651;9654
231135;Quixelô;CE;2015;"[23113511] Serviço Autônomo de Água e Esgoto - SAAE; [23113540] Secretaria de Infraestrutura - Seinfra";"Água e Esgoto; Res Sólidos";14949;6390;4510
231140;Quixeramobim;CE;2015;"[23114011] Serviço Autônomo de Águas e Esgoto de Quixeramobim - SAAE; [23114040] PREFEITURA MUNICIPAL DE QUIXERAMOBIM - CE";"Água; Res Sólidos";77174;53915;
231150;Quixeré;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23115040] SECRETARIA DE DESENVOLVIMENTO URBANO, MEIO AMBIENTE E INFRAESTRUTURA - PMQ";"Água; Res Sólidos";21572;5090;
231160;Redenção;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;27272;12029;554
231170;Reriutaba;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;19015;7131;
231180;Russas;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;75018;39333;10687
231190;Saboeiro;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23119040] Prefeitura Municipal de Saboeiro - PMS";"Água e Esgoto; Res Sólidos";15753;4348;203
231195;Salitre;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;16161;1039;840
231200;Santana do Acaraú;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;31596;12013;
231210;Santana do Cariri;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23121040] Prefeitura Municipal de Santana do Cariri - PMSC";"Água; Res Sólidos";17468;4706;
231220;Santa Quitéria;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23122040] SECRETARIA DE OBRAS E URBANISMO - SEOURB";"Água; Res Sólidos";43359;18574;
231230;São Benedito;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23123040] PREFEITURA MUNICIPAL DE SÃO BENEDITO - SEINFRA";"Água e Esgoto; Res Sólidos";46171;19937;6329
231240;São Gonçalo do Amarante;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23124040] Secretaria de Meio Ambiente e Urbanismo - PMSGA";"Água e Esgoto; Res Sólidos";47297;15927;5987
231260;São Luís do Curu;CE;2015;"[23126011] Prefeitura Municipal de São Luís do Curu - PMSLC; [23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23126040] Prefeitura Municipal de São Luís do Curu - PMSLC";"Esgoto; Água; Res Sólidos";12760;6644;8500
231270;Senador Pompeu;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;26547;10984;
231280;Senador Sá;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;7367;3527;
231290;Sobral;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23129011] Serviço de Água e Esgoto de Sobral - SAAE; [23129040] Prefeitura Municipal de Sobral - PMS";"Água; Água e Esgoto; Res Sólidos";201756;199260;178054
231300;Solonópole;CE;2015;"[23130011] Prefeitura Municipal de Solonópole - PMS; [23130040] Prefeitura Municipal de Solonópole - PMS";"Água; Res Sólidos";18094;18060;
231310;Tabuleiro do Norte;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;30263;15973;2041
231320;Tamboril;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;25597;9719;
