Código do Município ;Município ;Estado ;Ano de Referência ;Prestadores ;Serviços ;POP_TOT - População total do município do ano de referência (Fonte: IBGE): (Habitantes);AG001 - População total atendida com abastecimento de água (Habitantes);ES001 - População total atendida com esgotamento sanitário (Habitantes)
230300;Caridade;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23030040] Prefeitura Municipal de Caridade - PMC";"Água; Res. Sólidos";21.800;4.849;
230310;Cariré;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23031040] PREFEITURA MUNICIPAL DE CARIRÉ - PMC";"Água; Res. Sólidos";18.645;5.917;
230320;Caririaçu;CE;2015;[23032011] Serviço Autônomo de Água e Esgoto - SAMAE;Água;26.858;15.373;
230330;Cariús;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;18.810;4.403;
230340;Carnaubal;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23034040] PREFEITURA DE CARNAUBAL / SECRETARIA DE INFRAESTRUTURA E SERVIÇOS PÚBLICOS - SEINFRA";"Água; Res. Sólidos";17.463;6.871;
230350;Cascavel;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23035040] Prefeitura Municipal de Cascavel - PMC";"Água e Esgoto; Res. Sólidos";70.047;39.608;1.171
230360;Catarina;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23036040] PREFEITURA MUNICIPAL DE CATARINA - PMC";"Água e Esgoto; Res. Sólidos";20.079;8.509;2.046
230365;Catunda;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;10.294;4.939;
230370;Caucaia;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;353.932;240.953;104.674
230380;Cedro;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;25.013;12.298;881
230390;Chaval;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;12.910;7.438;
230393;Choró;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;13.294;2.892;
230395;Chorozinho;CE;2015;"[23039511] Prefeitura Municipal de Chorozinho - PMC; [23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23039540] Secretaria de Planejamento e Desenvolvimento Urbano - SPDU";"Esgoto; Água; Res. Sólidos";19.192;6.346;11.590
230400;Coreaú;CE;2015;"[23040011] Prefeitura Municipal de Coreaú - PMC; [23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23040040] PREFEITURA MUNICIPAL DE COREAÚ - PMC";"Esgoto; Água e Esgoto; Res. Sólidos";22.889;10.001;14.883
230410;Crateús;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;74.271;41.225;19.478
230420;Crato;CE;2015;[23042011] Sociedade Anônima de Água e Esgoto do Crato - SAAEC;Água e Esgoto;128.680;127.432;35.527
230423;Croatá;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23042340] PREFEITURA MUNICIPAL DE CROATA - PMC";"Água e Esgoto; Res. Sólidos";17.728;4.965;1.148
230425;Cruz;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23042540] Secretaria de Infra Estrutura e Urbanismo - Infra";"Água; Res. Sólidos";23.677;7.382;
230426;Deputado Irapuan Pinheiro;CE;2015;"[23042611] Prefeitura Municipal de Deputado Irapuan Pinheiro - PMDIP; [23042640] Secretaria de Obras,  Serviços Públicos e Transportes - SOSPT";"Água; Res. Sólidos";9.444;4.325;
230427;Ererê;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;7.104;2.823;
230428;Eusébio;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23042840] Secretaria de Obras e Serviços Públicos - SOSP";"Água e Esgoto; Res. Sólidos";51.127;35.342;4.423
230430;Farias Brito;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23043040] SECRETARIA MUNICIPAL DE INFRAESTRUTURA - SEINFRA";"Água; Res. Sólidos";18.861;5.673;
230435;Forquilha;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23043540] SEINFRA - SECRETARIA DE INFRAESTRUTURA - SEINFRA";"Água e Esgoto; Res. Sólidos";23.544;14.656;4.834
230440;Fortaleza;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23044040] SECRETARIA DE CONSERVAÇÃO E SERVIÇOS PÚBLICOS - SCSP";"Água e Esgoto; Res. Sólidos";2.591.188;2.184.943;1.270.591
230445;Fortim;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23044540] SECRETARIA DE DESENVOLVIMENTO URBANO DE FORTIM/CE - DESURB";"Água; Res. Sólidos";15.951;6.122;
230450;Frecheirinha;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23045040] Secretaria de Infra Estrutura e Meio Ambiente - Meio Ambiente";"Água e Esgoto; Res. Sólidos";13.541;6.987;1.067
230460;General Sampaio;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23046040] Secretaria do Desenvolvimento Rural e Meio Ambiente - SEDERMA";"Água; Res. Sólidos";6.763;3.907;
230465;Graça;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23046540] PREFEITURA MUNICIPAL DE GRAÇA - PMG";"Água e Esgoto; Res. Sólidos";15.294;5.328;670
230470;Granja;CE;2015;"[23047011] Prefeitura Municipal de Granja - PMG; [23047040] PREFEITURA MUNICIPAL DE GRANJA - PMG";"Água e Esgoto; Res. Sólidos";53.918;21.893;1.000
230480;Granjeiro;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23048040] Prefeitura Municipal de Granjeiro - PMG";"Água e Esgoto; Res. Sólidos";4.494;1.193;502
230490;Groaíras;CE;2015;"[23049011] Prefeitura Municipal de Groaíras - PMG; [23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23049040] Prefeitura Municipal de Groaíras - PMG";"Esgoto; Água; Res. Sólidos";10.847;7.125;10.847
230495;Guaiúba;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;25.841;12.787;2.131
230500;Guaraciaba do Norte;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23050040] Prefeitura Municipal de Guaraciaba do Norte - PMGN";"Água e Esgoto; Res. Sólidos";39.151;11.576;1.765
230510;Guaramiranga;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;3.720;1.359;731
230520;Hidrolândia;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;20.055;10.269;
230523;Horizonte;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23052340] SECRETARIA DE INFRA-ESTRUTURA - SEINFRA";"Água e Esgoto; Res. Sólidos";63.365;43.745;4.352
230530;Ibiapina;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23053040] PREFEITURA MUNICIPAL DE IBIAPINA - PMI";"Água; Res. Sólidos";24.649;9.358;
230533;Ibicuitinga;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;12.130;5.346;
230535;Icapuí;CE;2015;"[23053511] Serviço Autônomo de Água e Esgotos de Icapuí - SAAE; [23053540] Secretaria de Obras, Serviços Publicos e Urbanismo - Sec.Obras";"Água; Res. Sólidos";19.418;19.418;
230540;Icó;CE;2015;"[23054011] Serviço Autônomo de Água e Esgoto - SAAE; [23054040] PREFEITURA MUNICIPAL DE ICÓ - PMI/ICÓ";"Água e Esgoto; Res. Sólidos";67.198;49.536;17.850
230550;Iguatu;CE;2015;"[23055011] Serviço Autônomo de Água e Esgoto de Iguatu - SAAE; [23055040] Secretaria do Meio Ambiente e Desenvolvimento Urbano - SEMURB";"Água e Esgoto; Res. Sólidos";101.386;85.377;15.500
230560;Independência;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;25.957;9.622;2.671
230570;Ipaumirim;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23057040] PREFEITURA MUNICIPAL DE IPAUMIRIM - PMI";"Água; Res. Sólidos";12.305;6.207;
230600;Iracema;CE;2015;"[23060011] Prefeitura Municipal de Iracema - PMI; [23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23060040] PREFEITURA MUNICIPAL DE IRACEMA - PMI";"Esgoto; Água; Res. Sólidos";14.071;7.955;9.000
230610;Irauçuba;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23061040] SECRETARIA DE INFRAESTRUTURA - SEINFRA";"Água; Res. Sólidos";23.543;9.088;
230620;Itaiçaba;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23062040] PREFEITURA MUNICIPAL DE ITAIÇABA-SECRETARIA DE INFRAESTRUTURA - PMI-SEINFRA";"Água; Res. Sólidos";7.656;2.434;
230625;Itaitinga;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;38.540;35.546;708
230630;Itapagé;CE;2015;[23063011] Serviço Autônomo de Água e Esgoto - SAAE;Água e Esgoto;51.113;42.500;1.850
230640;Itapipoca;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23064040] PREFEITURA DE ITAPIPOCA - PMI";"Água e Esgoto; Res. Sólidos";124.950;57.113;27.619
230650;Itapiúna;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23065040] SECRETARIA DE OBRAS INFRAESTRUTURA E CONTROLE URBANO - SOICU";"Água; Res. Sólidos";19.724;7.523;
230655;Itarema;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23065540] SECTRETARIA DE TURIMO; PESCA E MEIO AMBIENTE - SECTUR";"Água e Esgoto; Res. Sólidos";40.398;9.049;1.492
230660;Itatira;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23066040] Secretaria Municipal de Infra Estrutura e Urbanismo S - SMIU";"Água; Res. Sólidos";20.285;1.843;
230670;Jaguaretama;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23067040] Prefeitura Municipal de Jaguaretama - PMJ";"Água e Esgoto; Res. Sólidos";17.997;7.442;285
230680;Jaguaribara;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;11.102;7.700;5.627
230690;Jaguaribe;CE;2015;"[23069011] Serviço Autônomo de Água e Esgoto - SAAE; [23069040] Secretaria da Cidade e Infraestrutura - SEINFRA";"Água e Esgoto; Res. Sólidos";34.561;32.672;8.253
230700;Jaguaruana;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;33.469;13.642;
230720;Jati;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23072040] Prefeitura Municipal de Jati - PMJ";"Água; Res. Sólidos";7.807;3.296;
230725;Jijoca de Jericoacoara;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23072540] SECRETARIA DE DESENVOLVIMENTO ECONÔMICO, TURISMO E MEIO AMBIENTE - SETMA";"Água e Esgoto; Res. Sólidos";18.926;5.672;1.230
230730;Juazeiro do Norte;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23073040] Autarquia de Meio Ambiente de Juazeiro do Norte - AMAJU";"Água e Esgoto; Res. Sólidos";266.022;222.131;58.507
230740;Jucás;CE;2015;[23074011] Serviço Autônomo de Água e Esgoto - SAAE;Água e Esgoto;24.479;18.566;8.348
230750;Lavras da Mangabeira;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;31.383;14.855;
230760;Limoeiro do Norte;CE;2015;[23076011] Serviço Autônomo de Água e Esgoto - SAAE;Água e Esgoto;58.175;57.593;9.925
230765;Maracanaú;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23076540] SECRETARIA DE INFRAESTRUTURA - SEINFRA";"Água e Esgoto; Res. Sólidos";221.504;147.551;65.227
230770;Maranguape;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;123.570;71.863;7.088
230780;Marco;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;26.484;12.054;
230790;Martinópole;CE;2015;"[23079011] Prefeitura Municipal de Martinópole - PMM; [23044000] Companhia de Água e Esgoto do Ceará - CAGECE";"Esgoto; Água";10.895;6.903;587
230800;Massapê;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23080040] SECRETARIA DE INFRAESTRUTURA E MEIO AMBIENTE - SEIMA";"Água e Esgoto; Res. Sólidos";37.560;19.333;5.248
230810;Mauriti;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23081040] PREFEITURA MUNICIPAL DE MAURITI - PMM";"Água e Esgoto; Res. Sólidos";46.113;15.001;2.671
230820;Meruoca;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;14.674;3.440;
230830;Milagres;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;28.354;9.145;
230837;Miraíma;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;13.428;5.754;
230840;Missão Velha;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;35.240;11.897;369
230850;Mombaça;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23085040] PREFEITURA MUNICIPAL DE MOMBAÇA - PMM";"Água; Res. Sólidos";43.619;14.586;
230860;Monsenhor Tabosa;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;17.012;8.472;
230870;Morada Nova;CE;2015;[23087011] Serviço de Autônomo de Água e Esgoto - SAAE;Água e Esgoto;61.903;58.000;1.600
230880;Moraújo;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;8.520;2.792;
230890;Morrinhos;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23089040] Secretaria de Agricultura, Recursos Hídricos e Meio Ambiente - Seagri";"Água; Res. Sólidos";21.905;8.539;
230900;Mucambo;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;14.357;8.510;1.588
230910;Mulungu;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23091040] Prefeitura Municipal de Mulungu - PMM";"Água e Esgoto; Res. Sólidos";12.526;3.464;550
230920;Nova Olinda;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23092040] Secretaria de Serviço Publicos - SSP";"Água; Res. Sólidos";15.181;8.965;
230940;Novo Oriente;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23094040] Secretaria de Obras e Infraestrutura - SOI";"Água e Esgoto; Res. Sólidos";28.220;10.520;4.131
230945;Ocara;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23094540] SECRETARIA DE INFRAESTRUTURA E DESENVOLVIMENTO URBANO - SEMID";"Água e Esgoto; Res. Sólidos";25.123;4.874;777
230950;Orós;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;21.394;12.541;
230960;Pacajus;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;68.800;40.004;1.851
230970;Pacatuba;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23097040] Secretaria de Infraestrutura e Meio Ambiente - SIMA";"Água e Esgoto; Res. Sólidos";80.378;58.004;30.799
230980;Pacoti;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;11.910;3.671;2.919
230990;Pacujá;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;6.168;3.397;
231000;Palhano;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23100040] PREFEITURA MUNICIPAL DE PALHANO - PMP";"Água; Res. Sólidos";9.209;3.326;
231010;Palmácia;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;12.895;3.953;992
231020;Paracuru;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23102040] Prefeitura Municipal - PM";"Água e Esgoto; Res. Sólidos";33.426;11.738;3.934
231025;Paraipaba;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23102540] Secretaria de Infraestrutura - Seinfra";"Água e Esgoto; Res. Sólidos";31.986;9.875;5.633
231030;Parambu;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23103040] Secretaria de Infraestrutura e Desenvolvimento Econômico - SEINFRA";"Água; Res. Sólidos";31.293;11.153;
231040;Paramoti;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23104040] Secretaria de Desenvolvimento Agrário e Meio Ambiente - SEDAMA";"Água e Esgoto; Res. Sólidos";11.549;5.539;871
231050;Pedra Branca;CE;2015;"[23105011] Serviço Autônomo de Água e Esgoto - SAAE; [23105040] SECRETARIA DE DESENVOLVIMENTO URBANO E MEIO AMBIENTE - SEDUMA";"Água; Res. Sólidos";42.746;18.513;
231060;Penaforte;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;8.817;5.679;
231070;Pentecoste;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23107040] PREFEITURA MUNICÍPAL DE PENTECOSTE - PMP";"Água; Res. Sólidos";36.773;18.670;
231080;Pereiro;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;16.115;4.400;
231085;Pindoretama;CE;2015;"[23108511] Serviço Autônomo de Água e Esgoto - SAAE; [23108540] PREFEITURA MUNICIPAL DE PINDORETAMA - PMP";"Água; Res. Sólidos";20.207;12.100;
231090;Piquet Carneiro;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23109040] SECRETARIA MUNICIPAL DE INFRAESTRUTURA E RECURSOS HIDRICOS - SMIRH";"Água; Res. Sólidos";16.461;4.812;
231095;Pires Ferreira;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;10.674;2.217;
231100;Poranga;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23110040] Prefeitura Municipal - PMP";"Água e Esgoto; Res. Sólidos";12.224;5.413;1.621
231110;Porteiras;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;15.010;5.178;867
231120;Potengi;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23112040] Prefeitura Municipal de Potengi - PMP";"Água; Res. Sólidos";10.790;5.088;
231123;Potiretama;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;6.318;2.352;
231126;Quiterianópolis;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23112640] Prefeitura Municipal de Quiterianópolis - PMQ";"Água; Res. Sólidos";20.690;4.526;
231130;Quixadá;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23113040] SECRETARIA DESENVOLVIMENTO URBANO E MEIO AMBIENTE - SEDUMA";"Água e Esgoto; Res. Sólidos";85.351;48.651;9.654
231135;Quixelô;CE;2015;"[23113511] Serviço Autônomo de Água e Esgoto - SAAE; [23113540] Secretaria de Infraestrutura - Seinfra";"Água e Esgoto; Res. Sólidos";14.949;6.390;4.510
231140;Quixeramobim;CE;2015;"[23114011] Serviço Autônomo de Águas e Esgoto de Quixeramobim - SAAE; [23114040] PREFEITURA MUNICIPAL DE QUIXERAMOBIM - CE";"Água; Res. Sólidos";77.174;53.915;
231150;Quixeré;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23115040] SECRETARIA DE DESENVOLVIMENTO URBANO, MEIO AMBIENTE E INFRAESTRUTURA - PMQ";"Água; Res. Sólidos";21.572;5.090;
231160;Redenção;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;27.272;12.029;554
231170;Reriutaba;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;19.015;7.131;
231180;Russas;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;75.018;39.333;10.687
231190;Saboeiro;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23119040] Prefeitura Municipal de Saboeiro - PMS";"Água e Esgoto; Res. Sólidos";15.753;4.348;203
231195;Salitre;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;16.161;1.039;840
231200;Santana do Acaraú;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;31.596;12.013;
231210;Santana do Cariri;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23121040] Prefeitura Municipal de Santana do Cariri - PMSC";"Água; Res. Sólidos";17.468;4.706;
231220;Santa Quitéria;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23122040] SECRETARIA DE OBRAS E URBANISMO - SEOURB";"Água; Res. Sólidos";43.359;18.574;
231230;São Benedito;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23123040] PREFEITURA MUNICIPAL DE SÃO BENEDITO - SEINFRA";"Água e Esgoto; Res. Sólidos";46.171;19.937;6.329
231240;São Gonçalo do Amarante;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23124040] Secretaria de Meio Ambiente e Urbanismo - PMSGA";"Água e Esgoto; Res. Sólidos";47.297;15.927;5.987
