MUNICIPIO;UF
Poço Dantas;PB
Itaíba;PE
Toritama;PE
Areia de Baraúnas;PB
Poço de José de Moura;PB
Jataúba;PE
Tupanatinga;PE
Assunção;PB
Pombal;PB
João Alfredo;PE
Venturosa;PE
Belém do Brejo do Cruz;PB
Quixabá;PB
Jucati;PE
Vertente do Lério;PE
Bernardino Batista;PB
Riacho dos Cavalos;PB
Vertentes;PE
Bom Jesus;PB
Salgadinho;PB
PARAÍBA
Bom Sucesso;PB
Santa Cruz;PB
Amparo;PB
Nova Palmeira;PB
Bonito de Santa Fé;PB
Santa Helena;PB
Alcantil;PB
Olivedos;PB
Brejo do Cruz;PB
Santa Luzia;PB
Aroeiras;PB
Ouro Velho;PB
Brejo dos Santos;PB
Joca Claudino;PB
Barra de Santana;PB
Parari;PB
Cachoeira dos Índios;PB
São Bentinho;PB
Barra de São Miguel;PB
Pedra Lavrada;PB
Cacimba de Areia;PB
São Bento;PB
Bayeux;PB
Picuí;PB
Cajazeiras;PB
São Domingos;PB
Boa Vista;PB
Pilar;PB
Carrapateira;PB
São Francisco;PB
Boqueirão;PB
Pocinhos;PB
Catolé do Rocha;PB
São João do Rio do Peixe;PB
Cabaceiras;PB
Prata;PB
Condado;PB
São José da Lagoa Tapada;PB
Caldas Brandão;PB
Puxinanã;PB
Jericó;PB
São José de Espinharas;PB
Camalaú;PB
Queimadas;PB
Junco do Seridó;PB
São José de Piranhas;PB
Campina Grande;PB
Riachão do Bacamarte;PB
Lagoa;PB
São José do Brejo do Cruz;PB
Caraúbas;PB
Riachão do Poço;PB
Lastro;PB
São José do Sabugi;PB
Caturité;PB
Riacho de Santo Antônio;PB
Malta;PB
São Mamede;PB
Congo;PB
Salgado de São Félix;PB
Marizópolis;PB
Sousa;PB
Coxixola;PB
Santa Cecília;PB
Mato Grosso;PB
Triunfo;PB
Cruz do Espírito Santo;PB
Santa Rita;PB
Monte Horebe;PB
Uiraúna;PB
Cubati;PB
Santo André;PB
Nazarezinho;PB
Várzea;PB
Fagundes;PB
São Domingos do Cariri;PB
Passagem;PB
Vieirópolis;PB
Frei Martinho;PB
São João do Cariri;PB
Patos;PB
Vista Serrana;PB
Gado Bravo;PB
São João do Tigre;PB
Paulista;PB
Gurinhém;PB
São José dos Cordeiros;PB
RIO GRANDE DO NORTE	Gurjão;PB
São José dos Ramos;PB
Ingá;PB
São Miguel de Taipu;PB
Água Nova;RN
Martins;RN
Itabaiana;PB
São Sebastião do Umbuzeiro;PB
Alexandria;RN
Olho-d'Água do Borges;RN
Itatuba;PB
Sapé;PB
Antônio Martins;RN
Paraná;RN
João Pessoa;PB
Seridó;PB
Apodi;RN
Pau dos Ferros;RN
Juarez Távora;PB
Serra Branca;PB
Areia Branca;RN
Pilões;RN
Juazeirinho;PB
Serra Redonda;PB
Baraúna;RN
Portalegre;RN
Juripiranga;PB
Sobrado;PB
Caraúbas;RN
Rafael Fernandes;RN
Livramento;PB
Soledade;PB
Coronel João Pessoa;RN
Rafael Godeiro;RN
Mari;PB
Sumé;PB
Doutor Severiano;RN
Riacho da Cruz;RN
Massaranduba;PB
Taperoá;PB
Encanto;RN
Riacho de Santana;RN
Mogeiro;PB
Tenório;PB
Felipe Guerra;RN
Rodolfo Fernandes;RN
Monteiro;PB
Umbuzeiro;PB
Francisco Dantas;RN
São Francisco do Oeste;RN
Natuba;PB
Zabelê;PB
Frutuoso Gomes;RN
São Miguel;RN
Governador Dix-Sept Rosado;RN
Serrinha dos Pintos;RN
Grossos;RN
Severiano Melo;RN
Itaú;RN
Taboleiro Grande;RN
João Dias;RN
Tenente Ananias;RN
José da Penha;RN
Tibau;RN
Lucrécia;RN
Umarizal;RN
Luís Gomes;RN
Upanema;RN
Major Sales;RN
Venha-Ver;RN
Marcelino Vieira;RN
Viçosa;RN
Acari;RN
Ouro Branco;RN
Açu;RN
Paraú;RN
Afonso Bezerra;RN
Parelhas;RN
Almino Afonso;RN
Patu;RN
Alto do Rodrigues;RN
Pedra Preta;RN
Angicos;RN
Pedro Avelino;RN
Augusto Severo;RN
Pendências;RN
Bodó;RN
Riachuelo;RN
Caiçara do Rio do Vento;RN
Santana do Matos;RN
Caicó;RN
Santana do Seridó;RN
Carnaúba dos Dantas;RN
São Fernando;RN
Carnaubais;RN
São João do Sabugi;RN
Cruzeta;RN
São José do Seridó;RN
Currais Novos;RN
São Rafael;RN
Equador;RN
São Vicente;RN
Fernando Pedroza;RN
Serra do Mel;RN
Florânia;RN
Serra Negra do Norte;RN
Ipanguaçu;RN
Tenente Laurentino Cruz;RN
Ipueira;RN
Timbaúba dos Batistas;RN
Itajá;RN
Triunfo Potiguar;RN
Janduís;RN
Lagoa Nova;RN
Jardim de Piranhas;RN
Lajes;RN
Jardim do Seridó;RN
Macau;RN
Jardim de Angicos;RN
Messias Targino;RN
Jucurutu;RN
Mossoró;RN
